ixdat version = 0.2.1dev
name = RuO2 G-450OX-10cyc.txt AND timescan-RuO2G-450Ox-CV-10cyc.txt
technique = EC-MS
tstamp = 1608572231.4
backend_name = BackendBase(none, address=none)
id = 6
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M45' and 'M31' and 'M32' and 'M44' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M45,	M31,	M32,	M44,	M18
76,	0.83,	0.005076,	0.0,	9.9551e-12,	6.524845032379017e-13,	8.869765239610652e-14,	9.535662731180854e-14,	3.1587375755053804e-13,	1.3510608703314018e-13,	4.905109626482527e-12
78,	0.84,	0.00524,	0.0,	9.826577849714179e-12,	6.6513e-13,	8.867125812573917e-14,	9.763525034334827e-14,	3.183438297038459e-13,	1.3721354980041686e-13,	4.901976038191854e-12
80,	0.85,	0.0054,	0.0,	9.9076e-12,	6.535008131430668e-13,	8.901451224742228e-14,	9.814566596804852e-14,	3.169611399025246e-13,	1.3362260232433893e-13,	4.917332519665293e-12
82,	0.86,	0.0055969999999999995,	0.0,	9.867069899454674e-12,	6.596104563020879e-13,	8.421076121120402e-14,	9.650280486628084e-14,	3.2078915069324965e-13,	1.3783353548623976e-13,	4.8885822440295326e-12
84,	0.87,	0.005652,	0.0,	9.848122086371127e-12,	6.565231348082102e-13,	8.754637319811296e-14,	9.436951441813127e-14,	3.1993e-13,	1.3653305451554299e-13,	4.8929975618668216e-12
86,	0.88,	0.0058980000000000005,	0.0,	9.923298654035657e-12,	6.57794141175304e-13,	8.814186306896367e-14,	9.670486802709677e-14,	3.2313013551628047e-13,	1.364613893268649e-13,	4.887989408353547e-12
88,	0.89,	0.005949,	0.0,	9.924577332688666e-12,	6.517163985765968e-13,	8.470489133815008e-14,	9.667200914209301e-14,	3.161677949763284e-13,	1.3801198707801025e-13,	4.906416461320661e-12
90,	0.9,	0.006241,	0.0,	9.9008e-12,	6.649394344463805e-13,	8.612282642508685e-14,	9.385355191492765e-14,	3.098514105364661e-13,	1.3229506091716246e-13,	4.8949e-12
92,	0.91,	0.00625,	0.0,	9.860665198917002e-12,	6.582054842043453e-13,	8.559175497410746e-14,	9.399629017043653e-14,	3.1213142393125783e-13,	1.3513483235876004e-13,	4.89657253658197e-12
94,	0.92,	0.006488000000000001,	0.0,	9.903249320796375e-12,	6.581926590385065e-13,	8.677554275018849e-14,	9.900661448108194e-14,	3.1301904849688653e-13,	1.360740199179053e-13,	4.878265050103782e-12
