ixdat version = 0.2.0
name = RuG-450Red CV-46cyc.txt AND timescan-RuG-450Red CV-46cyc.txt
technique = EC-MS
tstamp = 1583411924.38
backend_name = BackendBase(none, address=none)
id = 3
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M28' and 'M4' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M28,	M4,	M44,	M32,	M18
88,	0.8900010001668932,	0.019643739906659036,	0.0,	1.0243634921887821e-12,	3.189204853855194e-11,	1.5027417419787769e-13,	4.3311535825633144e-13,	7.350272451033336e-12
90,	0.9000010001668932,	0.020079946107693775,	0.0,	1.1828340873867272e-12,	3.158348439134056e-11,	1.5358434311032407e-13,	4.762702894816603e-13,	7.383828355651761e-12
92,	0.9100015008445976,	0.020445569188935947,	0.0,	1.2275664668569226e-12,	3.1520087481542253e-11,	1.5182635531225069e-13,	4.797827676132586e-13,	7.383427113195992e-12
94,	0.9200015008445976,	0.02090943677069264,	0.0,	1.0189505087158197e-12,	3.1788493228564954e-11,	1.5930311814242756e-13,	4.4793910514329075e-13,	7.3386e-12
96,	0.9300015008445977,	0.021471384735134904,	0.0,	9.91430948824955e-13,	3.1893178633157824e-11,	1.5781584497745788e-13,	4.3638559217274096e-13,	7.392869026277664e-12
98,	0.9400020003314017,	0.022043096632576788,	0.0,	9.726870260182162e-13,	3.1753846242275577e-11,	1.5914170784410663e-13,	4.3552299962077945e-13,	7.339638970575997e-12
100,	0.95,	0.022727999999999998,	0.0,	9.875513507801728e-13,	3.1925190280021474e-11,	1.6761665947553005e-13,	4.4956079735045196e-13,	7.395571252019325e-12
102,	0.96,	0.0237633,	0.0,	9.658973083804734e-13,	3.1918e-11,	1.6437142393125783e-13,	4.3693e-13,	7.3885e-12
104,	0.97,	0.0248753,	0.0,	9.835852376970075e-13,	3.1873e-11,	1.6720876788775943e-13,	4.2722411749596953e-13,	7.32262534054685e-12
106,	0.98,	0.0261564,	0.0,	9.569631663611585e-13,	3.1695e-11,	1.7203041378087685e-13,	4.204861539836126e-13,	7.40557662987559e-12
108,	0.9900050008285044,	0.027456921685833528,	0.0,	9.652005931544238e-13,	3.1755562138845205e-11,	1.7054825379071456e-13,	4.308651176268932e-13,	7.428142599148276e-12
110,	1.0000050008285044,	0.029074107050870168,	0.0,	9.652943709286093e-13,	3.1695e-11,	1.7205777821150735e-13,	4.215388607368136e-13,	7.354805421632924e-12
112,	1.0100050008285044,	0.030425707550953016,	0.0,	9.740408159639921e-13,	3.1695e-11,	1.7451102067499579e-13,	4.494946935961545e-13,	7.461579592362078e-12
114,	1.0200050008285044,	0.03183890705087016,	0.0,	9.56572371488671e-13,	3.1738697420993976e-11,	1.9331190341896575e-13,	4.232147607512336e-13,	7.396045088708204e-12
116,	1.0300050008285044,	0.0331604221527762,	0.0,	9.974200176602978e-13,	3.1862287759827246e-11,	1.843368734936436e-13,	4.498968639477831e-13,	7.401358506551496e-12
118,	1.0400050008285044,	0.03481870755095302,	0.0,	9.968341370412824e-13,	3.1695e-11,	1.930943192621722e-13,	4.2730422344566515e-13,	7.422663923536777e-12
120,	1.0500050008285045,	0.03660096812725827,	0.0,	9.64038510401875e-13,	3.1695e-11,	1.8947977112295382e-13,	4.306114824909131e-13,	7.332212634465445e-12
122,	1.0600050008285045,	0.038813229203646375,	0.0,	9.984358160417135e-13,	3.1695e-11,	1.9987818238358331e-13,	4.389570918137333e-13,	7.384550895906228e-12
124,	1.0700050008285045,	0.04136348977995163,	0.0,	1.0001770966799154e-12,	3.161249507997133e-11,	1.9861185628625654e-13,	4.397467825457839e-13,	7.46021339743204e-12
126,	1.0800050008285045,	0.04458908977995162,	0.0,	9.7589e-13,	3.187514745066634e-11,	2.1007e-13,	4.2831951819584403e-13,	7.438861860087537e-12
128,	1.0900050008285045,	0.04861369733090464,	0.0,	9.96604178932449e-13,	3.1705461587802e-11,	2.1043783210957664e-13,	4.3587e-13,	7.352637099908207e-12
130,	1.1000050008285045,	0.053468418983598,	0.0,	1.0096331638771307e-12,	3.1696036900484315e-11,	2.231852431765411e-13,	4.3367060138426293e-13,	7.42864116463544e-12
132,	1.1100050008285045,	0.05945974063629135,	0.0,	9.760061714893875e-13,	3.196003809059668e-11,	2.315719434317228e-13,	4.460064972819563e-13,	7.458011629787036e-12
134,	1.1200050008285045,	0.06720124063629136,	0.0,	1.009533190170204e-12,	3.1873e-11,	2.377167166588777e-13,	4.3486890127038404e-13,	7.38017102350149e-12
136,	1.1300050008285043,	0.07749453746711314,	0.0,	1.0173484763889215e-12,	3.1610255334403266e-11,	2.4845229929122015e-13,	4.3375e-13,	7.457934182528696e-12
138,	1.1400050008285043,	0.09252047810340448,	0.0,	9.892702102714821e-13,	3.1852219143846935e-11,	2.579347751404958e-13,	4.4639121589131583e-13,	7.366695596078345e-12
140,	1.1500050008285043,	0.1164582826976102,	0.0,	9.84461751459658e-13,	3.185017514596581e-11,	2.798672166417563e-13,	4.559410365391929e-13,	7.38721770482954e-12
142,	1.1600050008285043,	0.15637311932727832,	0.0,	9.831426621175898e-13,	3.1545437861154794e-11,	2.9687698228601576e-13,	4.844588172298111e-13,	7.388930180431617e-12
144,	1.1700050008285043,	0.22563916314502638,	0.0,	1.0127965152457577e-12,	3.1695e-11,	3.233424803579919e-13,	6.044090764278826e-13,	7.469e-12
146,	1.1800050008285043,	0.3759456838343897,	0.0,	1.0320355337439844e-12,	3.12506310534884e-11,	3.4526883526734016e-13,	1.1985722458313204e-12,	7.419567185477855e-12
148,	1.1900050008285044,	0.6669317397781038,	0.0,	1.0337e-12,	3.00519938121056e-11,	3.830922709562903e-13,	3.873402349426589e-12,	7.52470380428174e-12
150,	1.1959949991714955,	0.8459296323312206,	0.0,	1.1209446625138625e-12,	2.7539310628631108e-11,	4.3045427251661e-13,	9.128865155123697e-12,	7.599771843760366e-12
152,	1.1859949991714955,	0.47461120183916045,	0.0,	1.1250287990850746e-12,	2.6759688368558465e-11,	4.920701208363743e-13,	1.305245173692883e-11,	7.72807948640779e-12
154,	1.1759949991714955,	0.25533318227334445,	0.0,	1.127e-12,	2.743589499603308e-11,	5.373426627705854e-13,	1.295534095664242e-11,	7.752406859598196e-12
156,	1.1659949991714955,	0.1420151288914373,	0.0,	1.1035978635222258e-12,	2.851694610939944e-11,	5.428238966786571e-13,	1.003422472211382e-11,	7.7984e-12
158,	1.1559949991714955,	0.08662522602218961,	0.0,	1.0920706772453535e-12,	2.9458055396905604e-11,	5.281458347439766e-13,	7.65569475104123e-12,	7.688282206311705e-12
160,	1.1459949991714955,	0.05963062139651265,	0.0,	1.0571659855016487e-12,	2.994136735180919e-11,	5.33850918699268e-13,	5.914530850598213e-12,	7.666852370156298e-12
162,	1.1359949991714955,	0.04491961605832194,	0.0,	1.0516296374743265e-12,	3.0255e-11,	5.3671651625673e-13,	4.929877476356177e-12,	7.616543958328263e-12
164,	1.1259949991714955,	0.03595156641457881,	0.0,	1.0548777242513633e-12,	3.051672562511938e-11,	5.280105345317172e-13,	4.261287754128904e-12,	7.6322e-12
166,	1.1159949991714957,	0.029961988567355023,	0.0,	1.0611530573305018e-12,	3.0488658800890845e-11,	5.155675166751939e-13,	3.718841403928123e-12,	7.572868444640801e-12
168,	1.1059949991714957,	0.02556939561822519,	0.0,	1.0505747415428264e-12,	3.0815e-11,	4.94654485430514e-13,	3.170057655022059e-12,	7.6116e-12
170,	1.0959949991714957,	0.021914310220048378,	0.0,	1.0428819247213643e-12,	3.0989e-11,	4.791484065113061e-13,	2.8313e-12,	7.57098785147334e-12
172,	1.0859949991714957,	0.018811817771001396,	0.0,	1.026765475153679e-12,	3.0989e-11,	4.734097668388422e-13,	2.5381106368550943e-12,	7.56948028391093e-12
174,	1.075989999535084,	0.015830327857177768,	0.0,	1.029973790618406e-12,	3.1314401489362784e-11,	4.479953544493317e-13,	2.2501163481584936e-12,	7.527244422146251e-12
176,	1.0659899995350839,	0.012758020842904843,	0.0,	1.016917784355392e-12,	3.1202665338402716e-11,	4.4539110178778117e-13,	2.0170398769444673e-12,	7.619340481686799e-12
178,	1.0559899995350839,	0.008979416895767,	0.0,	1.009972979414177e-12,	3.120361535791945e-11,	4.416243365755754e-13,	1.8501800706509062e-12,	7.525314401517603e-12
180,	1.0459899995350839,	0.004180353168629845,	0.0,	9.959004773284899e-13,	3.1375769255059636e-11,	4.208772204231106e-13,	1.684137275468637e-12,	7.465354436759719e-12
182,	1.0359899995350839,	-0.0020516431227819627,	0.0,	1.0019666682224225e-12,	3.1222666680460774e-11,	4.0749000111920366e-13,	1.5328333290148376e-12,	7.529866669057123e-12
184,	1.0259899995350839,	-0.009139479655628287,	0.0,	1.0396485358205407e-12,	3.1346621363277473e-11,	3.870803908907434e-13,	1.497577658072101e-12,	7.4467708663599e-12
186,	1.0159899995350838,	-0.01610911232135002,	0.0,	1.0006790711697996e-12,	3.1355976697476675e-11,	4.040619814413121e-13,	1.374207177070706e-12,	7.492881160765189e-12
188,	1.0059899995350838,	-0.022094331219951815,	0.0,	1.0210939890814818e-12,	3.140343490170371e-11,	3.9467594733148013e-13,	1.265266126099998e-12,	7.426291381551851e-12
190,	0.9959899995350838,	-0.02656317117996903,	0.0,	1.0115948102850325e-12,	3.1695e-11,	3.7963714108242997e-13,	1.1627571619798298e-12,	7.471449315292428e-12
192,	0.9859899995350838,	-0.02957458717141457,	0.0,	1.0242012406641992e-12,	3.158192451179667e-11,	3.658030402781928e-13,	1.0675231641276443e-12,	7.48748241669157e-12
194,	0.9759899995350838,	-0.03156985110000345,	0.0,	1.0035084178966844e-12,	3.139477957985291e-11,	3.6426030005626007e-13,	1.0130763905812707e-12,	7.460458517623983e-12
196,	0.9659899995350838,	-0.03270470701427293,	0.0,	1.0037958573721057e-12,	3.161216174322982e-11,	3.534725639468378e-13,	9.569628558825777e-13,	7.463356403359962e-12
198,	0.9559899995350838,	-0.0328887,	0.0,	1.0010957977218093e-12,	3.1675071025463293e-11,	3.537070407785143e-13,	9.010566836514442e-13,	7.466728992312295e-12
200,	0.9459899995350838,	-0.0322436,	0.0,	1.0036156489468456e-12,	3.1695e-11,	3.4696442117694433e-13,	8.4269e-13,	7.446745573280809e-12
202,	0.9359899995350839,	-0.03089005691431596,	0.0,	9.999319793140628e-13,	3.184742325872838e-11,	3.341914957757088e-13,	8.163846999617836e-13,	7.50659028645646e-12
204,	0.9259899995350839,	-0.02892272785717777,	0.0,	9.918856220219727e-13,	3.159813012385302e-11,	3.325611218132976e-13,	7.914512944198541e-13,	7.496118912538722e-12
206,	0.9159899995350839,	-0.02643473487145069,	0.0,	1.0042866908275984e-12,	3.1695e-11,	3.233959496360682e-13,	7.367427324697529e-13,	7.378668223477982e-12
208,	0.9059899995350839,	-0.023486763928588884,	0.0,	9.91926385356089e-13,	3.182436767679854e-11,	3.1972507875201884e-13,	7.339107132973719e-13,	7.429800621240743e-12
210,	0.8959899995350838,	-0.02047564889999654,	0.0,	1.0003355550031747e-12,	3.171671765554875e-11,	3.125460747808545e-13,	7.059057421423954e-13,	7.450443058584587e-12
212,	0.8859899995350838,	-0.017710234871450695,	0.0,	9.846674904124905e-13,	3.165369738515952e-11,	3.22729801240589e-13,	6.74554910718445e-13,	7.5097417093037e-12
214,	0.8759899995350838,	-0.015038149900043036,	0.0,	1.0057294561404138e-12,	3.1887769526375954e-11,	3.1148943976406593e-13,	6.585153103586671e-13,	7.406270534399289e-12
216,	0.8659899995350838,	-0.012581777957134735,	0.0,	9.878865654271529e-13,	3.1695e-11,	2.9317e-13,	6.485133109821867e-13,	7.408248481873139e-12
218,	0.8559899995350838,	-0.010758555932866114,	0.0,	9.921131681866449e-13,	3.197722646995938e-11,	2.9215855812886787e-13,	6.007092969709131e-13,	7.320393380133138e-12
220,	0.8459899995350838,	-0.009289122285742213,	0.0,	9.702748882812958e-13,	3.1695e-11,	2.751237056414189e-13,	5.8881e-13,	7.469e-12
222,	0.8359899995350838,	-0.008107559740016522,	0.0,	9.68888890969329e-13,	3.186647186139871e-11,	2.7970238755612386e-13,	5.83914639030789e-13,	7.413955535489301e-12
224,	0.8259899995350838,	-0.00718123280570917,	0.0,	9.80455899503557e-13,	3.190760579940479e-11,	2.793027751738199e-13,	5.667507334658447e-13,	7.443301565044409e-12
226,	0.8159899995350838,	-0.006588332905713819,	0.0,	9.7415e-13,	3.1873e-11,	2.7458469914699384e-13,	5.682640177119547e-13,	7.432986015430544e-12
228,	0.8059899995350839,	-0.006421551964294442,	0.0,	9.958806520262225e-13,	3.197132629273219e-11,	2.7507493012136434e-13,	5.60618859268916e-13,	7.375373788376422e-12
230,	0.7959899995350839,	-0.006265865009995697,	0.0,	9.9175543733723e-13,	3.1695e-11,	2.6236553489441184e-13,	5.41535533267147e-13,	7.371898057420917e-12
232,	0.7859899995350839,	-0.006130848617136809,	0.0,	9.78418041294099e-13,	3.180767576391746e-11,	2.6283999896530966e-13,	5.181985798863136e-13,	7.417616899271387e-12
234,	0.7759899995350839,	-0.0060080915228506275,	0.0,	9.78463846914572e-13,	3.1746153831720673e-11,	2.5251384362749896e-13,	5.2892e-13,	7.388753832002829e-12
236,	0.7659899995350838,	-0.005997519760007916,	0.0,	1.0034827646828077e-12,	3.189184769187915e-11,	2.515968738598672e-13,	5.059154917131638e-13,	7.4287e-12
238,	0.7559899995350838,	-0.005869851522850627,	0.0,	9.749275950204436e-13,	3.1897889783954045e-11,	2.5284050213394205e-13,	5.052646700828851e-13,	7.437493994861339e-12
240,	0.7459849998807906,	-0.005692792812817395,	0.0,	9.9357e-13,	3.1858815659941574e-11,	2.3667292663302367e-13,	4.986428253314208e-13,	7.3785e-12
