ixdat version = 0.2.1dev
name = 01-Ru rgo 450H-50Ag.txt AND timescan-sem190-LOW.txt
technique = EC-MS
tstamp = 1577186652.6
backend_name = BackendBase(none, address=none)
id = 9
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M44,	M32,	M18
100,	1.1621,	0.118,	0.0,	7.912034446128458e-11,	1.3249014350062867e-12,	1.2339642101487847e-12,	4.874552924620703e-12,	1.818822966078164e-11
102,	1.1621699999970199,	0.118,	0.0,	7.9007e-11,	1.355001181911976e-12,	1.2407668632013362e-12,	4.98725562557371e-12,	1.82846568128936e-11
104,	1.16225,	0.118,	0.0,	7.93630059040344e-11,	1.3532449711076166e-12,	1.245730966836773e-12,	5.077783225864703e-12,	1.8427e-11
106,	1.1623299999970198,	0.118,	0.0,	7.908501977416539e-11,	1.324446145236895e-12,	1.2305522696321489e-12,	4.95596764871301e-12,	1.8503e-11
108,	1.16241,	0.118,	0.0,	7.90938284147938e-11,	1.3405715983732986e-12,	1.2213964499612511e-12,	5.134661543880307e-12,	1.8326e-11
110,	1.1624749999955297,	0.118,	0.0,	7.871151683084789e-11,	1.3473e-12,	1.2382978320837127e-12,	5.190193102084541e-12,	1.857527016165439e-11
112,	1.16252,	0.118,	0.0,	7.875820317519958e-11,	1.3304380651743323e-12,	1.2452343199332992e-12,	5.15283450747045e-12,	1.8569792906882256e-11
114,	1.1624449999955297,	0.118,	0.0,	7.894033011506821e-11,	1.3215100939022016e-12,	1.248003115992031e-12,	5.4166706308578925e-12,	1.8442873782126615e-11
116,	1.16252,	0.118,	0.0,	7.890124734720569e-11,	1.3513157109479225e-12,	1.2284e-12,	5.3949369043294806e-12,	1.8503168192243163e-11
118,	1.1625999999940395,	0.118,	0.0,	7.875812826873303e-11,	1.2940307702707533e-12,	1.2205025644341532e-12,	5.3919512622312965e-12,	1.8295923084609917e-11
120,	1.16268,	0.118,	0.0,	7.9007e-11,	1.3423970427864973e-12,	1.2188544371722333e-12,	5.425157397630486e-12,	1.8427e-11
122,	1.16274499999851,	0.118,	0.0,	7.852887575522734e-11,	1.3378e-12,	1.2109e-12,	5.454106850654969e-12,	1.837301382169487e-11
124,	1.16277,	0.118,	0.0,	7.848e-11,	1.3370268232673975e-12,	1.2274366858028546e-12,	5.497605120873995e-12,	1.8554704138984403e-11
126,	1.1628349999955296,	0.118,	0.0,	7.886045569858058e-11,	1.3362562105927453e-12,	1.21506982121427e-12,	5.350530727830362e-12,	1.8484816612603175e-11
128,	1.1629,	0.118,	0.0,	7.852742603262996e-11,	1.3302457591116344e-12,	1.2140887566823043e-12,	5.66917790905953e-12,	1.847261932662501e-11
130,	1.1629849999955297,	0.118,	0.0,	7.876395457443928e-11,	1.3230315591917656e-12,	1.2284e-12,	5.714527053080349e-12,	1.855728006049343e-11
132,	1.16305,	0.118,	0.0,	7.845765088228987e-11,	1.3204201169332692e-12,	1.180511833415471e-12,	5.647117747795451e-12,	1.8350952659566466e-11
134,	1.1631199999970199,	0.118,	0.0,	7.851862425300209e-11,	1.3431070041222433e-12,	1.2140538488849345e-12,	5.7438e-12,	1.8363152852887734e-11
136,	1.16319,	0.118,	0.0,	7.8585e-11,	1.3473e-12,	1.2006498075637949e-12,	5.879581743640762e-12,	1.845363688085529e-11
